Trial,Model,Training_Time_Seconds,Training_Energy_Joules,Inference_Time_Seconds,Inference_Energy_Joules,F1_Score
1,Decision Tree,260.5439030733105,436.7643509439145,0.050489836964362406,39.550483025815986,0.6976880891440155
2,Decision Tree,409.38969400379403,423.2880115449148,0.05167387054688802,47.81531178585785,0.6943383918667198
3,Decision Tree,241.16596296605832,178.55322129571923,0.03620312744090777,47.25283436229159,0.7070711865589896
4,Decision Tree,473.7814783196148,440.80567260692135,0.0246699685909041,20.653004430377074,0.8076288445102529
5,Decision Tree,348.1385046829488,305.9229820833028,0.07704008057355007,25.6186057253105,0.7141597960693354
6,Decision Tree,183.46512319210578,226.39816798689304,0.078801313305979,43.42227162203064,0.8354965369239931
7,Decision Tree,323.5230178677467,483.28471774855643,0.025089665954118115,6.8951258628379515,0.6083511082611569
8,Decision Tree,70.6958203552819,175.96507967934042,0.04985847975189647,46.068388272869306,0.9115832221106839
9,Decision Tree,120.83718252275425,274.3300212061291,0.07172549884515836,31.908111194843748,0.9452106882956395
10,Decision Tree,458.6831145795772,228.78972531036354,0.09738132052469843,6.698158220919861,0.9339094767521685
11,Decision Tree,195.60963149532486,210.36070927420855,0.011329184559162906,29.791550868973143,0.5045613936626631
12,Decision Tree,167.27201078087012,478.7677023754249,0.08342345597001972,4.20338802575457,0.8332596481178753
13,Decision Tree,409.70485033826657,410.6893427378997,0.014401986591946823,17.037642858703528,0.7199445601271827
14,Decision Tree,495.0700590442657,136.6733727137682,0.06065736032717988,43.45685718703286,0.7537738866188994
15,Decision Tree,298.54978658288644,443.2157059103754,0.0585099646452674,30.13722009838442,0.6049950243071494
16,Decision Tree,105.44155720481598,350.108764408662,0.040580282820612726,44.78809852038084,0.5701850686492052
17,Decision Tree,370.09033805222197,359.63273318372853,0.03822345711058814,27.425942381367534,0.897886788063855
18,Decision Tree,90.3979252404117,471.823556309733,0.071007151361914,4.20695084056427,0.5276413070502342
19,Decision Tree,214.27650217148505,443.7674028858271,0.019132833586044225,49.75011763070593,0.9055902557023557
20,Decision Tree,416.1864865430901,373.4981490382866,0.04927329353629533,44.29003537464178,0.9638623862549353
1,SVM,82.04020541331647,172.67785856856335,0.05842562212066374,15.468667214122664,0.5441636767354538
2,SVM,145.49963638881857,329.14944968312864,0.07368605841011899,35.10384722907054,0.7768704778340477
3,SVM,129.11566031843853,496.41610092761505,0.02224455979871596,31.17680775896346,0.6450488686944688
4,SVM,383.6021305999476,297.5398811860307,0.055885736819348414,33.21561190773039,0.5215596358308348
5,SVM,368.3364345690619,200.0048959926437,0.0447271037034503,38.025358357571825,0.6941001098836554
6,SVM,415.8413191679918,470.0441279107846,0.07021822163913563,7.683955771633298,0.5186191409248336
7,SVM,199.42274501549522,480.4148035989624,0.05045152942063038,37.48141043756415,0.879658279396945
8,SVM,304.6231726167657,299.21156279280365,0.07887093478553077,22.377227255454287,0.664777275041341
9,SVM,117.68584697399376,445.65969316351567,0.014982402639521279,17.800792527441526,0.9049003995196951
10,SVM,483.71617716905104,350.0842136108011,0.044602754517645234,45.70729619212149,0.5482878351224985
11,SVM,53.262757652825115,128.71256520624743,0.05365704036635744,32.628541074757365,0.7873961082341119
12,SVM,444.37203753626494,116.9673349521922,0.04825791510881989,16.759196088464726,0.553693093484279
13,SVM,69.67520442978369,300.5053622711465,0.07825679799823455,24.721207298358337,0.6330221267316747
14,SVM,76.09717628541112,222.94865133701722,0.09283225855289018,42.20761064542491,0.7465036886305594
15,SVM,394.3500431170814,439.63660312052,0.031569177557018616,42.35965958595975,0.9950765360723195
16,SVM,267.1783982150055,209.15434265372727,0.04529415378573533,32.27108142169071,0.6584961411623929
17,SVM,187.76085101149204,103.47577961276282,0.09857162869245997,3.073182634103961,0.7940554685834542
18,SVM,323.9825966701821,160.06296937590653,0.041692241708820355,42.51846172339844,0.5864836859899613
19,SVM,63.07611403802875,123.8131225470947,0.024763775012260493,26.317209750131948,0.9068763085591582
20,SVM,321.97467826729985,491.1553746331857,0.053767706473695456,42.55277623596658,0.753235645576354
